선박번호,선박명,선박식별번호(IMO),호출부호,선박길이_상,선박길이_하,선박길이_좌,선박길이_우,수신시각,속도,선수방위,헤딩
414856000,,0,0,38,126,62,3,2024-02-20,0,3600,511
215564000,YUKA D,9586710,9HA5165,152,27,23,5,2024-02-20,114,1213,120
477929300,CHEM RON,9346457,VRVX2,175,53,17,16,2024-02-20,110,2180,511
413568020,,0,BPKV6,10,102,9,10,2024-02-20,0,2626,287
413566260,,0,BPKP9,40,15,4,4,2024-02-20,87,1825,175
431023196,,0,0,0,0,0,0,2024-02-20,0,835,511
413880413,,0,0,6,20,4,7,2024-02-20,0,5110,511
352003358,,0,0,0,0,0,0,2024-02-20,0,2926,297
431023279,EBISU MARU,0,0,0,0,0,0,2024-02-20,84,3001,511
431022993,OHSHIO,0,JD5304,11,17,4,2,2024-02-20,0,2046,293
413879573,,0,0,7,60,6,5,2024-02-20,63,1283,511
312264000,XI MAO,9370903,V3OI8,62,12,7,5,2024-02-20,100,880,511
440109430,,0,@@D,0,0,0,0,2024-02-20,21,508,0
440313530,JEON JIN HO,0,0,0,0,0,0,2024-02-20,87,2543,511
352003418,,0,0,0,0,0,0,2024-02-20,0,3038,511
431023219,IWAKI MARU,1024340,JD5340,14,18,4,7,2024-02-20,0,198,322
413880481,,0,0,10,44,5,5,2024-02-20,34,2735,511
412362580,,0,YYYY,60,10,13,23,2024-02-20,0,1125,511
352003442,,0,0,0,0,0,0,2024-02-20,0,3200,511
413572150,,0,BPLM6,12,104,17,5,2024-02-20,0,172,283
352003415,JING ZE,9094250,HOA3196,62,14,6,6,2024-02-20,0,139,14
431023298,DAIEI MARU NO.5,1048114,JD5368,63,13,8,4,2024-02-20,104,47,0
413558410,CANXUE,0,BPJI6,20,30,20,30,2024-02-20,0,5110,511
413571490,,0,0,12,105,18,7,2024-02-20,0,290,511
440019120,HONG BO11,0,0,0,0,0,0,2024-02-20,0,0,265
413880275,,0,0,6,58,6,5,2024-02-20,59,1262,511
413880294,,0,0,10,44,5,5,2024-02-20,0,0,511
431022821,ZINRYUMARU,0,0,0,0,0,0,2024-02-20,48,1984,511
538010961,SIDER IMABARI,9984417,V7A6374,156,27,10,21,2024-02-20,123,2147,210
636023610,,0,0,0,0,0,0,2024-02-20,110,1880,511
413399090,,0,0,40,17,3,6,2024-02-20,59,352,511
636023650,HMM GARNET,9944455,5LOT3,125,210,18,33,2024-02-20,109,2056,206
440044570,PLUSHO,0,0,0,0,0,0,2024-02-20,12,2781,511
413880356,JIUJIANGHONGTAI8189,0,0,8,51,6,6,2024-02-20,0,1603,511
413880327,,0,0,6,56,6,5,2024-02-20,52,932,511
413880772,WAN ZHONG HAI 689,0,0,5,60,5,6,2024-02-20,0,447,511
413880454,,0,0,10,57,6,5,2024-02-20,32,2958,511
626354000,GENJI,9289738,TRBC9,173,10,22,10,2024-02-20,3,170,272
413879621,,0,0,5,50,5,5,2024-02-20,26,2063,511
440181670,NO121DAEYANG,0,393DY,0,0,0,0,2024-02-20,0,2075,0
413568090,,0,0,20,18,12,0,2024-02-20,0,3441,61
440281000,PRETTY HANA,9959905,D7CT,0,0,0,0,2024-02-20,100,350,55
431022865,,0,0,5,2,1,1,2024-02-20,53,2696,511
413880142,TAI HU ZHI XING 1HAO,0,0,72,3,10,10,2024-02-20,0,5110,511
440017910,KCG213,0,SSD,0,0,0,0,2024-02-20,1,3170,67
413568920,,0,0,80,20,10,6,2024-02-20,80,950,511
431023402,MOHEIMARU,0,0,0,0,0,0,2024-02-20,112,3034,511
431023338,AKIYOSHIMARU,9983011,JD5341,132,27,20,6,2024-02-20,0,2910,511
412480257,,0,0,19,20,3,4,2024-02-20,0,2617,511
413880351,,0,0,10,40,5,5,2024-02-20,0,290,511
413880504,,0,0,10,57,5,6,2024-02-20,50,799,511
477940600,A ROKKO,9977531,VRVY3,118,24,10,13,2024-02-20,96,2700,270
413879553,,0,0,20,6,5,4,2024-02-20,0,2995,511
431023436,YAWATA MARU,0,0,0,0,0,0,2024-02-20,0,1165,66
440172630,BIG BOS,0,0,0,0,0,0,2024-02-20,53,2899,511
477940300,VICTORY STAR,9283162,VRVY4,104,24,14,6,2024-02-20,0,3570,178
413571920,,0,0,76,16,9,5,2024-02-20,108,2302,233
413572510,,0,0,0,0,0,0,2024-02-20,0,1860,511
636022884,ALJALAA,9343338,5LKW8,209,35,26,16,2024-02-20,0,2870,339
538010946,TS SURABAYA,9955442,V7A6349,117,31,16,7,2024-02-20,0,1570,238
412446659,,0,0,16,15,4,3,2024-02-20,82,1651,511
413565970,,0,0,13,10,2,3,2024-02-20,0,3081,511
413253240,HONGSHENG68,0,0@8@ISB,9,10,3,3,2024-02-20,74,1037,0
413258090,,0,0,50,16,6,6,2024-02-20,0,2475,511
413562790,,0,0,42,12,5,4,2024-02-20,0,2132,170
256559000,CMA CGM LISBON,9431800,9HA5881,193,68,16,16,2024-02-20,20,1070,511
414929000,,0,BPOV5,170,30,23,12,2024-02-20,110,1800,511
413880399,,0,0,10,54,5,5,2024-02-20,0,0,511
413573740,,0,0,21,17,5,7,2024-02-20,0,2310,511
255803260,,0,CQQR,244,74,19,24,2024-02-20,0,0,289
219415000,,0,OZGQ2,153,30,24,8,2024-02-20,1,1042,316
412446521,MINXIAYU01537,0,0,30,20,3,4,2024-02-20,90,2568,511
440172010,MANYUNG,0,0,0,0,0,0,2024-02-20,70,3380,511
538010853,FAIRCHEM PATHFINDER,9975301,V7A7519,133,25,20,7,2024-02-20,130,2180,511
440488000,HMM LE HAVRE,9868314,D7JQ,0,0,0,0,2024-02-20,80,1270,18
416083000,WAN HAI 271,9493250,BHLB,130,42,17,10,2024-02-20,145,342,38
413572140,WU XIANG 99,0,BPLM5,11,105,17,5,2024-02-20,0,2600,511
414930000,,0,BPPN9,164,36,14,18,2024-02-20,50,1830,511
273258510,,0,UBPZ6,21,63,8,10,2024-02-20,0,2260,511
412224147,,0,23746,16,8,3,3,2024-02-20,0,1694,511
413480240,,0,0,40,16,3,6,2024-02-20,0,0,511
223539346,,0,0,453,129,37,37,2024-02-20,3,0,511
412217594,,0,0,4,5,1,2,2024-02-20,0,1316,511
223539349,,0,0,453,129,37,37,2024-02-20,1,0,511
412210989,,0,0,6,6,2,2,2024-02-20,0,1690,511
413865506,,0,0,3,36,2,6,2024-02-20,0,0,511
511101319,INDIGIRKA,9003639,T8A4640,42,36,6,7,2024-02-20,0,2790,511
413880143,TAI HU ZHI XING 2HAO,0,0,85,4,10,10,2024-02-20,0,5110,511
412282453,,0,0,17,17,4,3,2024-02-20,84,1585,511
413880702,,0,0,8,57,6,6,2024-02-20,37,1658,511
352003337,LIMONE,9989871,3E7494,100,21,15,5,2024-02-20,105,2097,212
431023416,AMAMASA MARU,0,0,0,0,0,0,2024-02-20,4,2869,291
431023394,NICHIJIMA MARU,1026427,JD5375,61,14,8,4,2024-02-20,0,390,511
413880821,JIAGANG77,0,0,10,54,6,6,2024-02-20,71,965,511
431023553,NIKKO MARU NO.18,1036159,JD5379,63,12,3,9,2024-02-20,110,1891,188
352003496,,0,3E5155,162,27,26,6,2024-02-20,0,2481,305
431023355,SUSQUE HANNA,0,0,0,0,0,0,2024-02-20,0,1185,511
416082000,WAN HAI 273,9493274,BHKW,130,42,18,9,2024-02-20,0,2972,118
538010569,PUTERI LEDANG,9947598,V7A6227,230,60,13,33,2024-02-20,170,2390,242
636023379,,0,5LNK7,115,251,35,16,2024-02-20,100,2260,511
661301105,,0,0,0,0,0,0,2024-02-19,91,70,511
431023223,NO.27 KYUEI MARU,0,0,0,0,0,0,2024-02-19,1,2427,511
413880106,,0,0,7,57,6,6,2024-02-19,39,3575,511
440413810,HAE YOUNG HO,0,503,0,0,0,0,2024-02-19,96,2419,511
413880104,,0,0,5,47,5,5,2024-02-19,46,2669,511
413568940,,0,0,134,10,14,13,2024-02-19,0,1550,511
412445411,,0,0,30,25,4,4,2024-02-19,112,2491,511
440062420,GEO MYEONG,0,0,0,0,0,0,2024-02-19,123,123,511
352003477,CHUNRONG803,1037165,3E5137,98,21,8,12,2024-02-19,100,2210,511
412475656,,0,PY80366,25,15,3,3,2024-02-19,106,2461,511
413880097,,0,0,17,50,5,8,2024-02-19,62,3061,511
440182150,HY GWANGYANG,0,SSD,0,0,0,0,2024-02-19,3,718,293
440601850,MYOUNGKWANGHO,0,601,0,0,0,0,2024-02-19,71,3094,511
413880339,,0,0,5,47,5,5,2024-02-19,59,3600,511
413879571,CHENG SHI 010,0,0,8,59,6,5,2024-02-19,44,2679,267
440139220,,0,0,12,5,2,3,2024-02-19,76,2727,272
413880282,,0,0,5,47,3,7,2024-02-19,0,1890,511
440130480,STELLA HO,0,240003,0,0,0,0,2024-02-19,99,2231,227
413286660,TIAN YU96,0,0,40,17,3,6,2024-02-19,77,827,511
636022489,ASL QINGDAO,9959046,5LJA8,136,36,22,6,2024-02-19,148,2122,212
416254900,HIGHLY ADVANCED,9601807,BR4699,90,6,3,10,2024-02-19,0,3060,44
413880512,,0,0,5,60,6,6,2024-02-19,68,3600,511
413880613,,0,0,10,48,5,5,2024-02-19,48,3404,511
431023286,HAKUHOU  MARU,0,0,0,0,0,0,2024-02-19,0,1794,283
352003368,,0,3E7522,132,28,7,19,2024-02-19,1,229,301
431023384,HANARIA,0,JD5315,15,15,5,5,2024-02-19,0,2630,511
700056197,,0,0,511,511,63,63,2024-02-19,2,2859,285
412463887,MINXIAYU09735,0,0,30,20,3,4,2024-02-19,87,2552,255
636022953,ZIM ARIES,9963217,5LLF5,107,165,16,26,2024-02-19,149,438,43
412522178,,0,0,23,23,4,4,2024-02-19,0,0,511
417222463,LANKA FREEDOM,9058610,4RGC,46,11,2,7,2024-02-19,0,2460,511
412210009,,0,0,6,6,2,3,2024-02-19,0,2858,511
636093265,XT BRIGHTNESS,9988059,5LPA3,113,25,14,6,2024-02-19,110,1950,511
431600147,KOUYOUMARU NO3,0,0,0,0,0,0,2024-02-19,112,248,511
440717600,GYEONG GIDOSEON HO,0,123,0,0,0,0,2024-02-19,80,592,511
412369905,,0,0,15,15,4,3,2024-02-19,0,0,511
413880401,,0,0,10,47,5,5,2024-02-19,0,3600,511
413880464,,0,0,10,48,5,5,2024-02-19,0,1953,511
677086700,SHENG SHI 569,9314569,5IM967,68,12,6,8,2024-02-19,81,1094,106
413573780,,0,0,10,103,10,9,2024-02-19,57,2993,511
352003535,WAN HANG 2,9569152,3E5186,150,18,7,16,2024-02-19,71,1805,173
412412247,,0,0,15,5,2,2,2024-02-18,0,1659,0
413880479,,0,0,10,44,5,5,2024-02-18,60,2538,0
413880633,,0,0,5,48,6,5,2024-02-18,49,3522,511
440406160,,0,513,8,4,2,2,2024-02-18,101,1490,149
413880183,,0,0,10,43,6,5,2024-02-18,66,2693,511
431022474,KIHOUMARU NO.78,0,0,0,0,0,0,2024-02-18,0,1821,511
412477394,,0,1234567,8,4,2,2,2024-02-18,95,2227,511
413880337,,0,0,10,43,6,5,2024-02-18,0,1721,511
440083810,NO.502 HAERYONG,9332377,41297,17,20,5,5,2024-02-18,13,536,511
412477408,,0,0,15,0,2,2,2024-02-18,64,1651,511
438997744,,1048577,105305,28,7,3,5,2024-02-18,1023,3600,340
413880333,,0,0,8,44,5,5,2024-02-18,69,896,511
431022498,KOUKIMARU NO18,0,0,0,0,0,0,2024-02-18,0,3157,511
413880384,,0,0,7,50,5,5,2024-02-18,41,3356,511
14060040,,0,0,0,0,0,0,2024-02-18,0,0,0
413880179,,0,0,4,45,4,6,2024-02-18,32,2205,511
413880205,,0,0,5,60,6,6,2024-02-18,28,3552,511
413880516,,0,0,10,43,6,5,2024-02-18,0,1478,511
413567090,,0,BPKR7,132,35,17,10,2024-02-18,107,2100,209
413269570,,0,0,25,16,6,6,2024-02-18,1,1217,0
431009741,BELUGA,0,0,0,0,0,0,2024-02-18,122,2230,224
413880528,,0,0,6,66,6,7,2024-02-17,0,3272,511
796009020,,0,0,6,6,1,1,2024-02-17,57,450,511
413880353,,0,0,7,49,5,5,2024-02-17,56,2554,511
413880035,,0,0,10,57,5,6,2024-02-17,71,3077,511
413856938,,0,0,8,35,3,5,2024-02-17,48,3390,1
352003426,CHENG QING 2,1039151,3E7570,131,28,10,16,2024-02-17,100,290,511
352003451,SEA TAURUS,9284295,3E5116,255,34,18,27,2024-02-17,116,2120,209
352003379,SCROOGE MCDUCK,9227675,3E7532,193,32,14,18,2024-02-17,118,1135,116
477929400,,0,VRVW2,100,236,15,36,2024-02-17,130,2300,511
431023155,,0,0,0,0,0,0,2024-02-17,104,286,511
413880503,,0,0,5,47,6,4,2024-02-17,0,3392,511
440715500,BONG YI HO,0,0,0,0,0,0,2024-02-17,0,0,0
413880338,,0,YYYY,80,25,8,8,2024-02-17,39,2909,511
636023454,SHINE JADE,9971472,5LNU5,197,32,21,11,2024-02-17,128,2121,210
413876024,,0,456789,100,10,8,8,2024-02-17,0,0,511
431023226,SYOUSEIMARU,0,0,0,0,0,0,2024-02-17,107,513,511
412480258,,0,69375,19,20,4,3,2024-02-17,81,198,19
431021409,FUKUEI MARU NO18,0,0,0,0,0,0,2024-02-17,0,3128,511
412481038,ZHE DAI YU 06860,0,0,30,20,4,3,2024-02-17,20,1570,511
352003333,AOI,9988671,3E7490,115,18,17,6,2024-02-17,100,2180,511
431023341,NO.2DAIRYOUMARU,0,0,0,0,0,0,2024-02-17,6,1845,511
352003105,KWANGYANG VOYAGER,9963164,3E5991,148,48,25,8,2024-02-16,141,3091,306
413880671,,0,0,7,50,5,5,2024-02-16,53,3600,511
440175140,MYEONG IN HO,0,0,0,0,0,0,2024-02-16,174,3367,511
413880439,,0,0,6,43,5,5,2024-02-16,45,2556,511
273253810,GAMOV,9279460,SSD,36,21,4,6,2024-02-16,110,560,511
538010537,,0,0,0,0,0,0,2024-02-16,96,2989,298
413880411,,0,0,8,50,5,6,2024-02-16,26,2607,511
413880521,ZHETONGXIANGCAO02555,0,0,15,34,5,5,2024-02-16,43,3143,511
413572610,WEI YE66,0,BPLO8,124,25,13,8,2024-02-16,82,2005,201
431023211,,0,0,8,6,2,2,2024-02-16,21,2834,511
413880505,,0,3008,8,50,5,5,2024-02-16,60,2302,511
440090001,WANGIAO44009  167,0,0,0,0,0,0,2024-02-16,2,2232,223
440501770,EUN A HO,0,123,0,0,0,0,2024-02-16,118,308,0
440410650,,0,505,0,0,0,0,2024-02-16,57,1798,0
413879957,,0,0,4,50,5,5,2024-02-16,60,2981,511
431023115,,0,0,23,15,3,3,2024-02-16,110,406,39
412217567,,0,0,5,5,1,2,2024-02-16,2,3334,511
413879785,,0,0,5,47,5,5,2024-02-16,66,871,511
413880694,,0,0,15,35,5,5,2024-02-16,44,3055,511
412353091,,0,50998,35,15,4,3,2024-02-16,14,1519,511
431023266,NO.16 GINYOMARU,0,0,0,0,0,0,2024-02-16,52,2258,511
405000379,BASHUNDHARA EMPRESS,9233442,S2CF8,165,25,20,12,2024-02-16,113,2341,235
413880375,WAN HE FEI HUO 6696,0,0,10,44,5,5,2024-02-15,71,2792,511
10669873,,0,0,0,0,0,0,2024-02-15,12,490,511
440315150,7 DONG SEONG HO,0,0,0,0,0,0,2024-02-15,46,3180,511
100925688,MINFUDINGYU01968,123456789,1234567,16,10,4,2,2024-02-15,85,3067,511
412035618,LIAOSUIYU35618,0,0,26,20,4,3,2024-02-15,22,1798,511
440079320,DAE SEONG HO,0,0,0,0,0,0,2024-02-15,81,282,511
352003264,,0,3E7435,163,27,10,22,2024-02-15,100,2130,511
280888606,,0,0,0,0,0,0,2024-02-15,6,3017,511
440161030,,0,700,0,0,0,0,2024-02-15,151,1228,511
431023278,DAIKATUMARU,0,0,0,0,0,0,2024-02-15,111,1560,511
413880331,,0,0,5,59,7,5,2024-02-15,71,2692,511
431022706,BADHI- 3,0,0,0,0,0,0,2024-02-15,121,1494,511
413880695,,0,0,5,60,7,6,2024-02-15,88,2221,511
413571670,,0,BPLJ2,12,104,17,5,2024-02-15,50,3160,511
223539355,,0,0,453,129,37,37,2024-02-15,2,0,511
440160560,SEOUL 9HO,0,0,0,0,0,0,2024-02-15,0,3024,511
413880478,,0,0,10,57,5,6,2024-02-14,66,2288,511
413875771,CHINACOASTGUARD6502,0,0,73,34,5,11,2024-02-14,0,5110,511
412353725,,0,0,24,15,4,4,2024-02-14,121,1332,511
412479637,,0,0,20,20,4,3,2024-02-14,31,86,511
413399140,TIAN YU28,0,0,40,17,3,6,2024-02-14,62,2452,511
412412819,,0,0,14,14,3,3,2024-02-14,19,2570,511
431022499,SEIRYOUMARU NO.32,0,0,0,0,0,0,2024-02-14,2,278,511
413879856,,0,0,7,60,5,6,2024-02-14,36,3004,511
431021725,SEIYOMARU NO.24,0,0,0,0,0,0,2024-02-14,0,272,511
413880082,,0,0,8,50,5,6,2024-02-14,30,2951,511
431023306,NAKOSO OOTORIMARU,0,0,0,0,0,0,2024-02-14,27,437,511
132280040,,0,0,4,4,1,2,2024-02-14,7,0,511
413010141,,0,0,7,8,2,2,2024-02-14,0,0,0
440409320,TAEGEUK2HO,0,0,0,0,0,0,2024-02-14,80,826,511
440195910,,0,300,0,0,0,0,2024-02-14,130,1325,511
431023224,DAI8HOUUNMARU,0,0,0,0,0,0,2024-02-14,10,586,511
431022875,CHUUHOUMARU,0,0,0,0,0,0,2024-02-14,88,856,85
212438244,,0,0,25,5,3,2,2024-02-14,104,800,79
431023225,TAITOUMARU,0,0,0,0,0,0,2024-02-14,69,2351,511
413880398,,0,0,10,47,5,5,2024-02-14,31,2849,511
131820024,,0,0,4,4,1,2,2024-02-14,4,70,511
413880579,XIANG YUN 2023,0,0,10,57,5,6,2024-02-14,0,0,0
413876358,,0,0,10,57,6,5,2024-02-14,0,3600,511
413875847,CHINACOASTGUARD32603,0,32603,30,44,6,5,2024-02-13,130,2810,511
431023232,,0,0,60,4,14,10,2024-02-13,26,3550,511
241877000,,0,0,0,0,0,0,2024-02-13,69,2406,249
414927000,,0,0,0,0,0,0,2024-02-13,110,2200,511
352003412,BRIGHT TSUBAKI,9989819,3E7557,146,39,11,24,2024-02-13,190,2230,511
440469613,ZHEDAIYU04695-13A-,0,0,0,0,0,0,2024-02-13,3,1070,107
413874905,,0,0,5,52,3,7,2024-02-13,80,3157,511
413880604,,0,0,6,48,5,5,2024-02-13,0,2825,511
477941200,ZIM MOUNT ELBRUS,9932529,VRVC3,111,255,21,30,2024-02-13,215,961,97
416445522,ANTAISHUN67,0,0,35,15,4,3,2024-02-12,104,2247,511
256730000,CMA CGM IVANHOE,9365805,9HA5951,258,92,25,17,2024-02-12,144,2320,235
431023174,TONANMARU,0,0,0,0,0,0,2024-02-12,79,77,511
440307170,LA ON,0,0,0,0,0,0,2024-02-12,3,0,0
412353562,,0,0,8,9,2,3,2024-02-12,0,2395,511
412549597,ZHOU YU 935,1046398,BZVF5,20,20,4,4,2024-02-12,0,3600,511
538011017,,0,V7A6457,167,19,25,10,2024-02-12,139,988,100
636093261,MIKATA,9295608,D5NE2,252,37,30,15,2024-02-12,109,2290,233
413880332,,0,0,8,44,5,5,2024-02-11,29,1402,511
412473216,,0,0,33,10,4,3,2024-02-11,92,2286,511
431023094,KAISEIMARU,0,0,0,0,0,0,2024-02-11,246,3187,511
413870271,,0,0,6,12,2,2,2024-02-11,0,2627,0
413879622,,0,0,5,50,5,5,2024-02-11,23,3440,511
431023304,KOUYOUMARU NO26,0,0,0,0,0,0,2024-02-11,88,1228,511
412501611,,0,0,0,0,0,0,2024-02-11,44,2274,511
10682783,,0,0,0,0,0,0,2024-02-10,10,3390,511
440081650,CHUNGJUNG19HO,0,0,0,0,0,0,2024-02-10,2,1376,511
440191550,SU DEOG,0,0,0,0,0,0,2024-02-10,1,51,511
415970080,,0,0,6,6,3,3,2024-02-10,10,173,511
431453000,YUGE MARU,9996264,7KPQ,13,43,7,3,2024-02-10,0,735,205
413880358,,0,0,10,54,5,5,2024-02-10,66,2359,511
413880581,,0,0,6,48,6,4,2024-02-10,33,2606,511
413880032,,0,0,10,57,5,6,2024-02-09,41,2653,511
413572850,GUANG XING 928,0,0,8,76,9,9,2024-02-09,180,4210,511
412324481,,0,0,10,9,3,2,2024-02-09,78,939,511
413395960,HONG RUN YOU 3,0,0,30,15,4,4,2024-02-09,0,123,511
431023404,DAI3KATSUEIMARU,0,0,0,0,0,0,2024-02-09,126,1603,511
445781000,,0,0,0,0,0,0,2024-02-08,0,1672,511
413876425,,0,ZKHX,110,20,8,8,2024-02-07,0,3050,511
538010958,LOWLANDS CONCORD,9959412,V7A6368,204,25,22,10,2024-02-07,120,1310,511
910231314,,0,0,511,511,63,63,2024-02-07,12,2770,511
413879987,SUYUANZHOU6789,0,0,5,62,7,4,2024-02-07,64,742,74
413877058,TENG FENG 9,0,0,89,20,8,8,2024-02-07,6,2110,511
412608867,ZHE CANG YU 08867,0,0,0,0,0,0,2024-02-07,88,2579,259
405000393,ZAYD JAHAN,9749726,S2CM6,169,30,24,12,2024-02-07,100,2150,511
660145902,,0,0,0,0,0,0,2024-02-07,12,3380,511
538010815,FU CHUN JIANG,9990818,V7A7463,169,30,22,10,2024-02-07,21,2266,228
413879849,,0,552,10,57,5,6,2024-02-07,0,2384,0
412364265,,0,0,17,16,4,3,2024-02-07,2,0,511
431019308,SUWAMARU122GO,0,0,0,0,0,0,2024-02-07,1,253,511
431001678,NANSEIMARU NO.2,0,0,0,0,0,0,2024-02-07,116,366,34
352003490,,0,0,0,0,0,0,2024-02-07,0,2660,511
960855501,,0,0,0,0,0,0,2024-02-07,34,544,511
412210745,,0,0,13,12,3,3,2024-02-07,0,0,511
413880654,,0,0,4,50,4,6,2024-02-07,51,2894,511
412473265,,0,0,0,0,0,0,2024-02-07,25,3245,511
796017102,,0,0,1,1,1,1,2024-02-07,0,0,511
416009616,YO SHENG,0,BR4891,0,0,0,0,2024-02-06,190,2260,511
413879801,,0,0,10,57,5,6,2024-02-06,42,2775,511
412479582,,0,0,17,17,3,3,2024-02-06,80,3563,358
440705480,NEW AULGI CARFERRY,0,0,0,0,0,0,2024-02-06,14,1897,5
412445507,MINFUDINGYU08122,0,0,25,25,3,4,2024-02-06,88,694,511
440602790,,0,300,0,0,0,0,2024-02-06,100,3144,314
412446515,,0,0,30,40,3,4,2024-02-06,95,521,511
636021961,NEW ALLIANCE,9953901,5LGN7,199,44,27,17,2024-02-06,118,453,37
413879955,,0,0,5,48,5,5,2024-02-05,58,2461,511
477940500,ZIM MOUNT OLYMPUS,9932505,VRVB9,111,255,21,30,2024-02-05,182,925,95
440323740,,0,600,10,14,2,3,2024-02-05,0,904,511
666666392,,0,392,12,6,2,1,2024-02-05,59,2873,287
413879799,,0,0,8,60,6,6,2024-02-04,73,2429,511
636023536,THERMAIKOS,9802255,5LOE5,178,22,21,11,2024-02-04,100,750,511
352003425,BRAVE SAPPHIRE,9998274,3E7569,104,19,16,6,2024-02-04,113,2209,223
412217615,,0,0,3,4,1,1,2024-02-04,0,3309,511
636015404,METHONI,9256755,D5AN2,214,91,10,30,2024-02-04,49,2997,300
413880514,,0,0,5,45,5,5,2024-02-03,0,1955,511
636022126,HENG MAY,9980174,5LHH5,254,38,27,18,2024-02-03,130,1502,148
431019728,KOUSHOUMARU,0,0,0,0,0,0,2024-02-03,320,94,20
441840092,13299 12         8V1,0,0,0,0,0,0,2024-02-03,82,681,0
414934000,,0,BPVZ8,42,153,2,48,2024-02-03,100,2100,511
440216620,,0,0,0,0,0,0,2024-02-02,70,1120,0
440332960,,0,0,0,0,0,0,2024-02-02,48,2630,0
440103770,,0,0,0,0,0,0,2024-02-02,112,3021,0
440123190,,0,600,0,0,0,0,2024-02-02,60,2435,511
413880689,,0,0,7,50,5,5,2024-02-01,67,2581,511
412336649,,0,0,20,19,4,4,2024-02-01,2,0,511
223540020,,0,0,511,511,63,63,2024-02-01,2,1641,511
477928700,GUSTAV MAERSK,9359038,VRVP3,264,103,22,20,2024-02-01,200,900,511
413880419,,0,0,110,20,8,8,2024-01-31,0,0,511
412280453,,0,0,20,20,4,4,2024-01-31,1,2221,511
412479629,,0,0,23,22,4,4,2024-01-31,0,0,511
413865441,,0,0,9,70,7,9,2024-01-31,76,2414,511
440093720,2023 SUNG DEOK HO,0,0,0,0,0,0,2024-01-31,104,2692,269
440171070,,0,995,0,0,0,0,2024-01-31,4,790,511
412280452,JIHUANGYUSHUI02816,0,0,50,10,8,8,2024-01-31,0,1358,511
352003419,BRIGHT FUJI,9989833,3E7563,133,39,7,21,2024-01-31,121,1454,154
256108000,CMA CGM MEKONG,9718105,9HA5698,126,174,17,31,2024-01-31,107,2211,224
636023375,HG HAMBURG,9954981,5LNK3,174,26,22,10,2024-01-30,120,2020,511
255915661,ZIM YANGTZE,9954175,CQ2119,195,60,13,24,2024-01-30,170,620,511
563217800,MU DAN SONG,9608831,9V9241,161,19,13,14,2024-01-30,130,2260,511
352003472,KONGM,9256975,3E5132,291,45,31,29,2024-01-30,90,1970,511
352003435,OCEAN CONDUCTOR,9972012,3E5102,154,29,10,20,2024-01-30,110,1510,511
